hts8|brief_description|quantity_1_code|quantity_2_code|mfn_ave97|mfn_rate_type_code|wto_binding_code|mfn_ad_val_rate|mfn_specific_rate|mfn_other_rate|gsp_indicator|gsp_ctry_excluded|apta_indicator|civil_air_indicator|cbi_indicator|cbi_ad_val_rate|cbi_specific_rate|israel_fta_indicator|atpa_indicator|atpa_ad_val_rate|atpa_specific_rate|pharmaceutical_ind|dyes_indicator|nafta_canada_ind|canada_ad_val_rate|canada_specific_rate|canada_other_rate|nafta_mexico_ind|mexico_ad_val_rate|mexico_specific_rate|mexico_other_rate|col2_rate_type_code|col2_ad_val_rate|col2_specific_rate|col2_other_rate|begin_effect_date|end_effective_date
52104980|Woven fabrics of cotton, nesoi, < 85% cotton by wt, mixed mainly with m-m fibers, n/o 200 g/m2, number 69 or higher, of yarn of diff colors|M2|KG|0.155|7|B|0.155|0|0||||||||IL||||||CA|0.015|0|0|MX|0.052|0|0|7|0.435|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105140|Printed plain weave cotton fabrics, < 85% cotton by wt, mixed mainly/solely with man-made fibers, n/o 200 g/m2, of number 42 or lower|M2|KG|0.103|7|B|0.103|0|0||||||||IL||||||CA|0.01|0|0|MX|0.037|0|0|7|0.279|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105160|Printed plain weave cotton fabrics, < 85% cotton by wt, mixed mainly/solely with man-made fibers, n/o 200 g/m2, of numbers 43-68|M2|KG|0.122|7|B|0.122|0|0||||||||IL||||||CA|0.012|0|0|MX|0.042|0|0|7|0.327|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105180|Printed plain weave cotton fabrics, < 85% cotton by weight, mixed mainly/solely with man-made fibers, n/o 200 g/m2, of number 69 or higher|M2|KG|0.155|7|B|0.155|0|0||||||||IL||||||CA|0.015|0|0|MX|0.052|0|0|7|0.435|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105200|Printed 3- or 4-thread twill fabrics of cotton, incl. cross twill, < 85% cotton by wt, mixed mainly/solely w/man-made fibers, n/o 200 g/m2|M2|KG|0.108|7|B|0.108|0|0||||||||IL||||||CA|0.011|0|0|MX|0|0|0|7|0.297|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105920|Printed satin or twill weave cotton fabrics, nesoi, < 85% cotton by wt, mixed mainly/solely with man-made fibers, weighing n/o 200 g/m2|M2|KG|0.108|7|B|0.108|0|0||||||||IL||||||CA|0.011|0|0|MX|0|0|0|7|0.297|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105940|Printed woven fabrics of cotton, nesoi, < 85% cotton by wt, mixed mainly/solely with man-made fibers, wt n/o 200g/m2, of number 42 or lower|M2|KG|0.099|7|B|0.099|0|0||||||||IL||||||CA|0.01|0|0|MX|0.037|0|0|7|0.279|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105960|Printed woven fabrics of cotton, nesoi, < 85% cotton by wt, mixed mainly/solely with man-made fibers, weighing n/o 200g/m2, of numbers 43-68|M2|KG|0.117|7|B|0.117|0|0||||||||IL||||||CA|0.012|0|0|MX|0.042|0|0|7|0.327|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52105980|Printed woven fabrics of cotton, nesoi, < 85% cotton by wt, mixed mainly/solely w/man-made fibers, weighing n/o 200g/m2, number 69 or higher|M2|KG|0.132|7|B|0.132|0|0||||||||IL||||||CA|0.015|0|0|MX|0.052|0|0|7|0.435|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
52111100|Unbleached plain weave fabrics of cotton, < 85% cotton by wt, mixed mainly/solely with man-made fibers, over 200 g/m2|M2|KG|0.077|7|B|0.077|0|0||||||||IL||||||CA|0.007|0|0|MX|0.028|0|0|7|0.199|0|0|01/01/1997 00:00:00|12/31/1997 00:00:00
