hts8|brief_description|quantity_1_code|quantity_2_code|wto_binding_code|mfn_text_rate|mfn_rate_type_code|mfn_ad_val_rate|mfn_specific_rate|mfn_other_rate|col1_special_text|gsp_indicator|gsp_ctry_excluded|apta_indicator|civil_air_indicator|nafta_canada_ind|nafta_mexico_ind|mexico_rate_type_code|mexico_ad_val_rate|mexico_specific_rate|cbi_indicator|cbi_ad_val_rate|cbi_specific_rate|agoa_indicator|cbtpa_indicator|cbtpa_rate_type_code|cbtpa_ad_val_rate|cbtpa_specific_rate|israel_fta_indicator|atpa_indicator|atpa_ad_val_rate|atpa_specific_rate|atpdea_indicator|jordan_indicator|jordan_rate_type_code|jordan_ad_val_rate|jordan_specific_rate|jordan_other_rate|singapore_indicator|singapore_rate_type_code|singapore_ad_val_rate|singapore_specific_rate|singapore_other_rate|chile_indicator|chile_rate_type_code|chile_ad_val_rate|chile_specific_rate|chile_other_rate|morocco_indicator|morocco_rate_type_code|morocco_ad_val_rate|morocco_specific_rate|morocco_other_rate|australia_indicator|australia_rate_type_code|australia_ad_val_rate|australia_specific_rate|australia_other_rate|pharmaceutical_ind|dyes_indicator|col2_text_rate|col2_rate_type_code|col2_ad_val_rate|col2_specific_rate|col2_other_rate|begin_effect_date|end_effective_date|footnote_comment|additional_duty
28333000|Alums|KG||B|1.6%|7|0.016|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28333000|Alums|KG||B|1.6%|7|0.016|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28334020|Sodium peroxosulfates (sodium persulfates)|KG||B|3.7%|7|0.037|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28334020|Sodium peroxosulfates (sodium persulfates)|KG||B|3.7%|7|0.037|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28334060|Peroxosulfates (persulfates), nesoi|KG||B|3.1%|7|0.031|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28334060|Peroxosulfates (persulfates), nesoi|KG||B|3.1%|7|0.031|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28341010|Sodium nitrite|KG||B|5.5%|7|0.055|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX); 2.7% (SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|7|0.027|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||54%|7|0.54|0|0|07/01/2005 00:00:00|12/31/2005 00:00:00||
28341010|Sodium nitrite|KG||B|5.5%|7|0.055|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX); 2.7% (SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|7|0.027|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||54%|7|0.54|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28341050|Nitrites, other than of sodium|KG||B|3.1%|7|0.031|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28341050|Nitrites, other than of sodium|KG||B|3.1%|7|0.031|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28342100|Potassium nitrate|T||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||Free|0|0|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28342905|Bismuth nitrate|KG||B|5.5%|7|0.055|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX); 2.7% (SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|7|0.027|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||35%|7|0.35|0|0|07/01/2005 00:00:00|12/31/2005 00:00:00||
28342905|Bismuth nitrate|KG||B|5.5%|7|0.055|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX); 2.7% (SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|7|0.027|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||35%|7|0.35|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28342910|Calcium nitrate|T||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||Free|0|0|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28342920|Strontium nitrate|KG||B|4.2%|7|0.042|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28342920|Strontium nitrate|KG||B|4.2%|7|0.042|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28342950|Nitrates, nesoi|KG||B|3.5%|7|0.035|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||10%|7|0.1|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28342950|Nitrates, nesoi|KG||B|3.5%|7|0.035|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||10%|7|0.1|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28351000|Phosphinates (hypophosphites) and phosphonates (phosphites)|KG||B|3.1%|7|0.031|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
28351000|Phosphinates (hypophosphites) and phosphonates (phosphites)|KG||B|3.1%|7|0.031|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||25%|7|0.25|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
28352200|Mono- or disodium phosphates|KG||B|1.4%|7|0.014|0|0|Free (A,AU,CA,CL,E,IL,J,JO,MX,SG)|A||||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||6%|7|0.06|0|0|07/01/2005 00:00:00|12/31/2020 00:00:00||
27160000|Electrical energy|MWH||B|Free|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||Free|0|0|0|0|01/01/1989 00:00:00|12/31/2020 00:00:00||
28352200|Mono- or disodium phosphates|KG||B|1.4%|7|0.014|0|0|Free (A*,AU,CA,CL,E,IL,J,JO,MX,SG)|A*|IN|||CA|MX|0|0|0|E|0|0||||||IL|J|0|0||JO|0|0|0|0|SG|0|0|0|0|CL|0|0|0|0||||||AU|0|0|0|0|||6%|7|0.06|0|0|01/01/2005 00:00:00|06/30/2005 00:00:00||
